Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin/logs?limit=30,299,0,17,69.86619998947374,12.038676999509335,1967.27087101317,7982.0,5.05199122948626,0.0,17,20,24,43,87,360,850,1100,2000,2000,2000
GET,/admin/stats,1306,0,10,157.66770963733202,5.346100981114432,4842.532039998332,2819.9525267993877,22.06655700906039,0.0,10,12,13,14,51,110,3900,4100,4800,4800,4800
GET,/admin/users?page=1&limit=20,105,0,17,69.32930390660961,11.768801981816068,2588.2128580124117,7119.0,1.7741106324282854,0.0,17,20,23,28,80,190,630,890,2600,2600,2600
GET,/admin/users?page=1&limit=20&is_active=false,23,0,17,184.8444903064418,12.8206160152331,2759.588647983037,7228.0,0.3886147099604816,0.0,17,23,46,49,140,860,2800,2800,2800,2800,2800
GET,/admin/users?page=1&limit=20&is_active=true,19,0,24,84.87607057874189,12.44552101707086,596.0328959918115,7119.0,0.3210295430108326,0.0,24,38,48,81,400,600,600,600,600,600,600
GET,/admin/users?page=2&limit=20,96,0,17,70.80831541801065,12.144364009145647,2519.2176999989897,7205.0,1.6220440067915753,0.0,17,19,28,48,65,190,910,2500,2500,2500,2500
GET,/admin/users?page=2&limit=20&is_active=false,30,0,15,21.553493002041552,10.528058017371222,113.3868680044543,59.0,0.5068887521223673,0.0,15,17,18,18,66,69,110,110,110,110,110
GET,/admin/users?page=2&limit=20&is_active=true,16,0,19,91.81119993809261,14.819703006651253,620.0498700200114,7195.0,0.2703406677985959,0.0,19,39,100,100,260,620,620,620,620,620,620
GET,/admin/users?page=3&limit=20,104,0,17,40.88904419236664,12.63493299484253,894.3888569774572,7150.0,1.7572143406908731,0.0,17,20,24,31,53,88,420,430,890,890,890
GET,/admin/users?page=3&limit=20&is_active=false,19,0,14,49.70425841594605,11.672028980683535,529.8707859765273,59.0,0.3210295430108326,0.0,14,16,19,36,100,530,530,530,530,530,530
GET,/admin/users?page=3&limit=20&is_active=true,24,0,16,52.198582664762704,13.17027400364168,560.7767330075148,7097.0,0.40551100169789384,0.0,16,19,25,31,88,190,560,560,560,560,560
GET,/admin/users?page=4&limit=20,87,0,17,53.86771966640345,12.605908996192738,897.4242590193171,7224.0,1.469977381154865,0.0,17,20,26,33,87,170,820,900,900,900,900
GET,/admin/users?page=4&limit=20&is_active=false,24,0,16,38.39945457851476,10.835595981916413,432.0089819957502,59.0,0.40551100169789384,0.0,16,17,22,23,64,67,430,430,430,430,430
GET,/admin/users?page=4&limit=20&is_active=true,18,0,16,34.216763663506654,13.134798005921766,306.1675159842707,7241.0,0.3041332512734204,0.0,16,16,19,19,56,310,310,310,310,310,310
GET,/admin/users?page=5&limit=20,97,0,17,37.134705524238726,11.902027996256948,704.6949380019214,7088.0,1.6389402985289876,0.0,17,19,21,23,62,92,410,700,700,700,700
GET,/admin/users?page=5&limit=20&is_active=false,26,0,14,40.991067804637936,9.578252997016534,419.2506810068153,59.0,0.4393035851727183,0.0,14,16,20,46,110,120,420,420,420,420,420
GET,/admin/users?page=5&limit=20&is_active=true,23,0,17,67.76040278719333,12.75365799665451,387.9767449980136,7086.0,0.3886147099604816,0.0,17,24,32,60,310,380,390,390,390,390,390
POST,/auth/login [admin],200,0,88,128.13202989986166,44.95553899323568,1031.3801310257986,313.0,3.3792583474824487,0.0,88,100,110,120,140,560,1000,1000,1000,1000,1000
POST,/auth/login [user],800,0,110,118.00751501439663,42.47300801216625,248.84973501320928,38.0,13.517033389929795,0.0,110,130,150,150,170,190,210,220,250,250,250
GET,/orders [admin list],960,0,25,93.63555362569969,14.429399016080424,2090.4306180018466,16702.357291666667,16.220440067915753,0.0,25,29,37,54,140,490,1100,1300,2100,2100,2100
GET,/products [init],2,0,4.176110000116751,29.29412850062363,4.176110000116751,54.412147001130506,11369.0,0.033792583474824486,0.0,54,54,54,54,54,54,54,54,54,54,54
GET,/products/<id>,5362,0,4,8.289091214091021,1.6951010038610548,2562.3798689921387,443.66616933979856,90.59791629600444,0.0,4,5,6,7,10,25,39,62,350,2600,2600
GET,/products?[filters],10641,0,5,9.182826025333833,1.8811199988704175,1165.307567018317,2772.3216802932056,179.79344037780368,0.0,5,6,7,7,13,26,42,64,620,1100,1200
,Aggregated,20281,0,5,30.56567517158362,1.6951010038610548,4842.532039998332,2883.6644642769093,342.6736927264577,0.0,5,8,12,16,36,94,160,320,4000,4800,4800
