Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin/logs?limit=30,185,0,15,18.684039070472323,11.974179011303931,168.98235797998495,7982.0,3.127553944631866,0.0,15,16,17,18,19,22,76,130,170,170,170
GET,/admin/stats,783,0,9,25.93230757979637,5.547637993004173,1035.0913550064433,2819.0255427841635,13.237160749441896,0.0,9,10,10,10,12,75,140,980,1000,1000,1000
GET,/admin/users?page=1&limit=20,54,0,15,15.975865981157835,11.316049989545718,70.14595001237467,7119.0,0.9129076378925446,0.0,15,15,16,16,17,19,22,70,70,70,70
GET,/admin/users?page=1&limit=20&is_active=false,11,0,15,19.760435904820703,11.971025000093505,64.0769149758853,7228.0,0.18596266697811092,0.0,15,18,18,18,19,64,64,64,64,64,64
GET,/admin/users?page=1&limit=20&is_active=true,18,0,15,19.7582038365201,13.244264002423733,87.60910699493252,7119.0,0.30430254596418155,0.0,15,16,17,18,24,88,88,88,88,88,88
GET,/admin/users?page=2&limit=20,69,0,15,16.066569305173513,11.853122996399179,74.04081200365908,7205.0,1.1664930928626958,0.0,15,16,16,17,18,19,20,74,74,74,74
GET,/admin/users?page=2&limit=20&is_active=false,9,0,12,13.058113891424405,9.92186801158823,17.359520978061482,59.0,0.15215127298209077,0.0,12,13,15,15,17,17,17,17,17,17,17
GET,/admin/users?page=2&limit=20&is_active=true,9,0,17,26.573673223740318,13.109976978739724,114.10295800305903,7195.0,0.15215127298209077,0.0,17,18,18,18,110,110,110,110,110,110,110
GET,/admin/users?page=3&limit=20,55,0,15,18.27096594815058,12.403027998516336,114.26660601864569,7150.0,0.9298133348905546,0.0,15,16,16,17,19,20,88,110,110,110,110
GET,/admin/users?page=3&limit=20&is_active=false,10,0,13,13.056378791225143,10.19970900961198,15.477230976102874,59.0,0.16905696998010086,0.0,14,14,15,15,15,15,15,15,15,15,15
GET,/admin/users?page=3&limit=20&is_active=true,12,0,15,15.52278466745823,13.474077015416697,17.727783997543156,7097.0,0.202868363976121,0.0,16,16,17,17,18,18,18,18,18,18,18
GET,/admin/users?page=4&limit=20,56,0,15,19.721861731730833,12.594751984579489,126.56061901361682,7224.0,0.9467190318885648,0.0,15,16,16,16,20,71,84,130,130,130,130
GET,/admin/users?page=4&limit=20&is_active=false,18,0,13,16.907863999626393,11.139709007693455,74.61446098750457,59.0,0.30430254596418155,0.0,13,14,14,16,18,75,75,75,75,75,75
GET,/admin/users?page=4&limit=20&is_active=true,9,0,15,21.13601111341268,13.753689010627568,70.57943800464272,7241.0,0.15215127298209077,0.0,15,16,16,16,71,71,71,71,71,71,71
GET,/admin/users?page=5&limit=20,57,0,15,17.797939611594764,11.729996011126786,99.35848001623526,7088.0,0.9636247288865748,0.0,15,15,16,16,18,22,96,99,99,99,99
GET,/admin/users?page=5&limit=20&is_active=false,8,0,12,12.440608366887318,10.834715998498723,13.994841981912032,59.0,0.13524557598408068,0.0,13,13,14,14,14,14,14,14,14,14,14
GET,/admin/users?page=5&limit=20&is_active=true,8,0,14,14.72994900905178,13.389366009505466,17.35054299933836,7086.0,0.13524557598408068,0.0,14,15,16,16,17,17,17,17,17,17,17
POST,/auth/login [admin],100,0,130,142.6647539588157,88.48382797441445,228.8448019826319,313.0,1.6905696998010085,0.0,130,150,170,180,200,220,220,230,230,230,230
POST,/auth/login [user],400,0,210,200.88452726384276,55.77816301956773,347.6507320010569,38.0,6.762278799204034,0.0,210,230,240,250,270,310,320,320,350,350,350
GET,/orders [admin list],565,0,22,24.95051833849392,13.583494001068175,213.6638440133538,16735.743362831858,9.551718803875698,0.0,22,23,24,25,27,31,92,140,210,210,210
GET,/products [init],3,0,32,33.935203993072115,14.85335998586379,55.17400099779479,11369.0,0.05071709099403025,0.0,32,32,55,55,55,55,55,55,55,55,55
GET,/products/<id>,2991,0,3,5.040509435143484,1.7911049944814295,129.10018902039155,445.21397525911067,50.56493972104816,0.0,3,4,4,4,5,9,30,49,110,130,130
GET,/products?[filters],6167,0,4,5.561851118621609,1.7777809989638627,162.63118298957124,2839.6155342954435,104.2574333867282,0.0,4,4,5,5,6,13,22,48,120,160,160
,Aggregated,11597,0,4,16.298210248920775,1.7777809989638627,1035.0913550064433,2986.0545830818314,196.05536808592296,0.0,4,5,8,11,20,84,200,240,350,1000,1000
