Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin/logs?limit=30,475,2,420,2034.2006254525807,12.474541988922283,12496.239744010381,7948.3915789473685,4.682494883532066,0.01971576793066133,420,1800,3600,4500,7000,7800,9500,10000,12000,12000,12000
GET,/admin/stats,2075,7,400,2504.6665543939,5.960495996987447,14463.195927004563,2809.904578313253,20.455109228061133,0.06900518775731466,400,2500,4300,5500,8200,9800,13000,14000,14000,14000,14000
GET,/admin/users?page=1&limit=20,154,0,390,1894.3701388250868,12.320987007115036,12461.669335985789,7119.0,1.5181141306609227,0.0,390,720,3200,4300,7000,8000,9700,10000,12000,12000,12000
GET,/admin/users?page=1&limit=20&is_active=false,31,0,380,1697.161552223054,13.880398008041084,9475.42508499464,7228.0,0.30559440292525064,0.0,380,840,3500,3600,5800,8700,9500,9500,9500,9500,9500
GET,/admin/users?page=1&limit=20&is_active=true,21,0,380,2031.9319284296528,14.701594016514719,8226.094323006691,7119.0,0.20701556327194398,0.0,380,750,4700,5300,5800,7000,8200,8200,8200,8200,8200
GET,/admin/users?page=2&limit=20,141,1,450,2264.323551411714,12.284155993256718,9766.146695008501,7153.900709219858,1.3899616391116238,0.009857883965330666,450,2600,4100,4800,7500,9000,9700,9800,9800,9800,9800
GET,/admin/users?page=2&limit=20&is_active=false,40,1,440,2351.8722588254604,13.341609999770299,8010.124956985237,57.525,0.39431535861322664,0.009857883965330666,460,2400,4500,6800,7500,7700,8000,8000,8000,8000,8000
GET,/admin/users?page=2&limit=20&is_active=true,24,0,510,2426.9113945410936,19.08381999237463,8004.429139982676,7195.0,0.236589215167936,0.0,590,3000,5700,5800,7200,7300,8000,8000,8000,8000,8000
GET,/admin/users?page=3&limit=20,128,1,350,1649.3612518656846,13.346293999347836,9517.223239992745,7094.140625,1.2618091475623252,0.009857883965330666,350,740,3000,4000,5500,6800,7700,7800,9500,9500,9500
GET,/admin/users?page=3&limit=20&is_active=false,31,0,350,1554.4148287106862,11.374727007932961,7486.668744008057,59.0,0.30559440292525064,0.0,350,620,3200,3300,5300,7500,7500,7500,7500,7500,7500
GET,/admin/users?page=3&limit=20&is_active=true,33,0,470,2486.647914607381,14.255013025831431,9033.49438100122,7097.0,0.32531017085591196,0.0,470,3500,4500,6300,7500,8000,9000,9000,9000,9000,9000
GET,/admin/users?page=4&limit=20,139,0,420,1950.8547609941631,12.49755299068056,13996.929471002659,7224.0,1.3702458711809626,0.0,420,800,4000,4300,6900,7500,8200,9000,14000,14000,14000
GET,/admin/users?page=4&limit=20&is_active=false,22,0,240,1136.1704013622577,14.09320899983868,7470.267680997495,59.0,0.21687344723727467,0.0,420,470,1500,1500,4000,4700,7500,7500,7500,7500,7500
GET,/admin/users?page=4&limit=20&is_active=true,34,0,97,1467.2935225603665,14.312169019831344,7940.640031010844,7241.0,0.3351680548212427,0.0,170,450,1700,3200,5900,7700,7900,7900,7900,7900,7900
GET,/admin/users?page=5&limit=20,146,0,390,1881.5774144403467,13.617025018902496,9752.577113977168,7088.0,1.4392510589382772,0.0,390,2300,3200,3800,6000,7300,9000,9500,9800,9800,9800
GET,/admin/users?page=5&limit=20&is_active=false,17,0,380,1845.307001588962,14.778103010030463,10247.325760981767,59.0,0.16758402741062134,0.0,380,440,470,2500,7600,10000,10000,10000,10000,10000,10000
GET,/admin/users?page=5&limit=20&is_active=true,32,1,390,2186.4626288752333,15.043846011394635,8010.651812015567,6864.5625,0.3154522868905813,0.009857883965330666,420,1900,5300,5500,6900,7300,8000,8000,8000,8000,8000
POST,/auth/login [admin],400,0,100,730.794497765819,47.880792000796646,7938.980080012698,313.0,3.9431535861322664,0.0,100,120,160,480,3200,4800,6900,7200,7900,7900,7900
POST,/auth/login [user],1600,0,130,798.2308689894489,33.138083992525935,8226.394333993085,38.0,15.772614344529066,0.0,130,160,200,410,3200,5200,6900,7400,8100,8200,8200
GET,/orders [admin list],1509,7,400,2037.0387008997745,13.760182016994804,15767.599407001399,16628.89662027833,14.875546903683976,0.06900518775731466,400,2000,3500,4500,7000,8000,9500,10000,12000,16000,16000
GET,/products [init],4,0,7.477415987523273,21.745554004155565,7.477415987523273,60.57272700127214,11369.0,0.03943153586132266,0.0,11,11,61,61,61,61,61,61,61,61,61
GET,/products/<id>,8415,40,150,1045.3209242879564,1.8055870023090392,15770.81693999935,441.8528817587641,82.95409356825756,0.39431535861322664,150,330,540,1500,4500,5800,7000,7700,13000,16000,16000
GET,/products?[filters],16776,101,160,1061.7613864818586,1.954287989065051,15763.59012001194,2754.212565569862,165.37586140238724,0.9956462804983973,160,340,560,1600,4500,5800,7000,7700,12000,16000,16000
,Aggregated,32247,161,180,1219.8793338305834,1.8055870023090392,15770.81693999935,2826.873197506745,317.887184230018,1.5871193184182373,180,380,750,2400,4800,6300,7700,9000,14000,16000,16000
