Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin/logs?limit=30,219,0,1800,1684.5778683690858,486.6614560014568,2975.4750989959575,7982.0,3.342438847959406,0.0,1800,2000,2000,2200,2500,2500,2700,2800,3000,3000,3000
GET,/admin/stats,859,0,1900,1720.8133251794868,231.60046999691986,2988.361015013652,2819.034924330617,13.110296668480043,0.0,1900,2000,2000,2200,2500,2500,2700,2800,3000,3000,3000
GET,/admin/users?page=1&limit=20,87,0,1800,1663.0447067597336,244.84512498020194,3000.9276070049964,7119.0,1.3278181724770242,0.0,1800,2000,2000,2200,2500,2700,2800,3000,3000,3000,3000
GET,/admin/users?page=1&limit=20&is_active=false,10,0,1800,1768.0538287997479,991.0612489911728,2732.080173009308,7228.0,0.15262277844563496,0.0,1800,2000,2000,2000,2700,2700,2700,2700,2700,2700,2700
GET,/admin/users?page=1&limit=20&is_active=true,11,0,2000,1797.167875092286,515.5880240199622,2516.6554239986,7119.0,0.16788505629019845,0.0,2000,2000,2300,2300,2300,2500,2500,2500,2500,2500,2500
GET,/admin/users?page=2&limit=20,51,0,2000,1929.6663852965496,983.9739649905823,2762.4610549828503,7205.0,0.7783761700727383,0.0,2000,2000,2300,2500,2500,2500,2700,2800,2800,2800,2800
GET,/admin/users?page=2&limit=20&is_active=false,11,0,1300,1441.957715271697,485.09913199814036,2520.061784016434,59.0,0.16788505629019845,0.0,1300,2000,2000,2000,2200,2500,2500,2500,2500,2500,2500
GET,/admin/users?page=2&limit=20&is_active=true,16,0,1800,1722.2605993720208,705.064235982718,2454.8248589853756,7195.0,0.24419644551301595,0.0,1800,2000,2200,2200,2300,2500,2500,2500,2500,2500,2500
GET,/admin/users?page=3&limit=20,66,0,1900,1745.5417537439093,242.14836800820194,2750.4056559992023,7150.0,1.0073103377411907,0.0,2000,2000,2200,2200,2300,2500,2700,2800,2800,2800,2800
GET,/admin/users?page=3&limit=20&is_active=false,14,0,1500,1580.5355130017103,731.0176559840329,2248.4206999943126,59.0,0.21367188982388896,0.0,1700,1800,2000,2000,2000,2200,2200,2200,2200,2200,2200
GET,/admin/users?page=3&limit=20&is_active=true,17,0,1800,1632.0096579421422,259.802918008063,2485.7676980027463,7097.0,0.25945872335757947,0.0,1800,2000,2200,2200,2300,2500,2500,2500,2500,2500,2500
GET,/admin/users?page=4&limit=20,63,0,2000,1788.9603726669318,506.91199299762957,2794.4656139879953,7224.0,0.9615235042075003,0.0,2000,2000,2200,2200,2200,2300,2300,2800,2800,2800,2800
GET,/admin/users?page=4&limit=20&is_active=false,7,0,1800,1676.8927611410618,744.4037050008774,2474.195055983728,59.0,0.10683594491194448,0.0,1800,1800,2300,2300,2500,2500,2500,2500,2500,2500,2500
GET,/admin/users?page=4&limit=20&is_active=true,17,0,2000,1998.5243569997906,507.85525899846107,2740.968250989681,7241.0,0.25945872335757947,0.0,2000,2500,2500,2500,2700,2700,2700,2700,2700,2700,2700
GET,/admin/users?page=5&limit=20,64,0,1700,1671.23960926574,261.5189669886604,2752.4210099945776,7088.0,0.9767857820520638,0.0,1700,2000,2200,2300,2500,2500,2700,2800,2800,2800,2800
GET,/admin/users?page=5&limit=20&is_active=false,15,0,1700,1664.085528603755,271.3043249968905,2275.9878290235065,59.0,0.22893416766845245,0.0,1700,2000,2200,2200,2200,2300,2300,2300,2300,2300,2300
GET,/admin/users?page=5&limit=20&is_active=true,11,0,2000,1758.130457186119,531.1623100133147,2467.652049002936,7086.0,0.16788505629019845,0.0,2000,2000,2200,2200,2300,2500,2500,2500,2500,2500,2500
POST,/auth/login [admin],200,0,5000,5472.302667689364,1721.048728999449,9981.56131998985,313.0,3.0524555689126993,0.0,5000,5500,8700,9000,9500,9500,9700,10000,10000,10000,10000
POST,/auth/login [user],800,0,7000,9006.06262718731,1029.5772760000546,23044.99008701532,38.0,12.209822275650797,0.0,7000,11000,13000,15000,19000,20000,22000,22000,23000,23000,23000
GET,/orders [admin list],615,0,1800,1691.2185689564076,242.89409501943737,3197.401571989758,16731.18536585366,9.386300874406551,0.0,1800,2000,2000,2200,2500,2500,2700,2800,3200,3200,3200
GET,/products [init],35,0,530,549.8821732854204,497.20552400685847,991.1820460110903,11369.0,0.5341797245597224,0.0,530,540,540,540,550,740,990,990,990,990,990
GET,/products/<id>,2845,0,1500,1550.5484567470855,16.096879000542685,2985.2218680025544,444.2347978910369,43.421180467783145,0.0,1500,1800,2000,2000,2200,2500,2700,2700,3000,3000,3000
GET,/products?[filters],5776,0,1500,1569.9614124931165,15.84836098481901,2983.081837010104,2745.215027700831,88.15491683019876,0.0,1500,1800,2000,2000,2200,2500,2700,2700,3000,3000,3000
,Aggregated,11809,0,1700,2158.005310375061,15.84836098481901,23044.99008701532,2966.2155135913285,180.23223906645032,0.0,1700,2000,2000,2200,2500,6000,12000,17000,22000,23000,23000
