Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin/logs?limit=30,256,0,2500,2540.158820094007,301.0980090184603,5472.714728006395,7982.0,3.1983269764505815,0.0,2500,3000,3500,3500,4000,4300,4800,5300,5500,5500,5500
GET,/admin/stats,1038,0,2500,2554.182011018166,235.34919301164337,6247.636678977869,2820.7687861271675,12.968216412326967,0.0,2500,3000,3500,3700,4200,4800,5500,6000,6200,6200,6200
GET,/admin/users?page=1&limit=20,75,0,2500,2340.4216018427783,467.45096700033173,5467.515663011,7119.0,0.9370098563820063,0.0,2500,2700,3300,3500,4000,4500,4800,5500,5500,5500,5500
GET,/admin/users?page=1&limit=20&is_active=false,12,0,1200,2088.047218412006,284.94560401304625,4047.910018998664,7228.0,0.14992157702112102,0.0,2300,3000,3700,3700,4000,4000,4000,4000,4000,4000,4000
GET,/admin/users?page=1&limit=20&is_active=true,14,0,2200,2370.3198270003277,511.82838599197567,4460.255751007935,7119.0,0.17490850652464118,0.0,2700,3500,3500,3800,4200,4500,4500,4500,4500,4500,4500
GET,/admin/users?page=2&limit=20,87,0,2500,2522.6854091264636,470.29561799718067,5470.891692995792,7205.0,1.0869314334031273,0.0,2500,3000,3500,3500,4000,4700,5300,5500,5500,5500,5500
GET,/admin/users?page=2&limit=20&is_active=false,20,0,3200,2647.4967410977115,747.09399198764,4002.3181900032796,59.0,0.2498692950352017,0.0,3300,3700,3800,3800,4000,4000,4000,4000,4000,4000,4000
GET,/admin/users?page=2&limit=20&is_active=true,11,0,3300,2828.4829717224716,753.9264670049306,4515.027372981422,7195.0,0.13742811226936094,0.0,3300,3800,4000,4000,4000,4500,4500,4500,4500,4500,4500
GET,/admin/users?page=3&limit=20,65,0,2500,2438.379190397413,521.1487150227185,5463.903718016809,7150.0,0.8120752088644055,0.0,2500,3000,3200,3500,3800,4300,5300,5500,5500,5500,5500
GET,/admin/users?page=3&limit=20&is_active=false,24,0,2500,2527.1584190365197,495.7551669795066,5278.090767009417,59.0,0.29984315404224204,0.0,2700,3000,3200,3500,4000,4800,5300,5300,5300,5300,5300
GET,/admin/users?page=3&limit=20&is_active=true,20,0,2000,2265.5448492019786,745.7269449951127,5472.951665986329,7097.0,0.2498692950352017,0.0,2000,2800,3300,3300,3500,5500,5500,5500,5500,5500,5500
GET,/admin/users?page=4&limit=20,73,0,2500,2469.9464262864226,262.5048930058256,5259.797220991459,7224.0,0.9120229268784862,0.0,2500,3200,3500,3500,3700,4000,5200,5300,5300,5300,5300
GET,/admin/users?page=4&limit=20&is_active=false,13,0,2500,2744.192118469912,1007.812449010089,4487.242920004064,59.0,0.1624150417728811,0.0,2500,2700,3800,4000,4000,4500,4500,4500,4500,4500,4500
GET,/admin/users?page=4&limit=20&is_active=true,14,0,2500,2636.2739447857684,971.4836619968992,3766.85666499543,7241.0,0.17490850652464118,0.0,2700,3200,3300,3300,3300,3800,3800,3800,3800,3800,3800
GET,/admin/users?page=5&limit=20,85,0,2500,2460.816921670373,472.06030500819907,4784.988573985174,7088.0,1.0619445038996072,0.0,2500,3000,3500,3700,4000,4300,4500,4800,4800,4800,4800
GET,/admin/users?page=5&limit=20&is_active=false,15,0,2800,2468.581169670991,490.9564400149975,4011.565252003493,59.0,0.18740197127640126,0.0,2800,3300,3500,4000,4000,4000,4000,4000,4000,4000,4000
GET,/admin/users?page=5&limit=20&is_active=true,21,0,1500,1680.0888432841193,537.3579320148565,3967.929955018917,7086.0,0.2623627597869618,0.0,1500,2000,2000,2500,2700,3000,4000,4000,4000,4000,4000
POST,/auth/login [admin],333,0,13000,20355.37379141756,1966.1741890013218,58522.81094097998,313.0,4.160323762336108,0.0,13000,24000,26000,52000,54000,57000,58000,58000,59000,59000,59000
POST,/auth/login [user],987,0,16000,19632.162715949275,1746.5595050016418,59759.97126000584,38.0,12.331049709987203,0.0,16000,23000,32000,35000,43000,47000,51000,60000,60000,60000,60000
GET,/orders [admin list],812,0,2500,2479.0107614350427,290.3587329783477,5487.640105973696,16715.795566502464,10.144693378429189,0.0,2500,3000,3500,3700,4000,4300,4800,5000,5500,5500,5500
GET,/products [init],24,0,1100,1130.4333703325635,996.6510880040005,1251.2763740087394,11369.0,0.29984315404224204,0.0,1200,1200,1200,1200,1200,1200,1300,1300,1300,1300,1300
GET,/products/<id>,2749,0,2200,2236.494102287522,52.125560003332794,5466.741110984003,443.21971626045837,34.344534602588475,0.0,2200,2700,3000,3000,3700,4000,4500,4700,5300,5500,5500
GET,/products?[filters],5837,0,2200,2243.5681229531197,243.22986498009413,5470.202224008972,2791.9032037005313,72.9243537560236,0.0,2200,2700,3000,3000,3700,4000,4500,4700,5500,5500,5500
,Aggregated,12585,0,2500,4138.010135156518,52.125560003332794,59759.97126000584,3169.7396901072707,157.23025390090066,0.0,2500,3000,3500,3700,4500,16000,36000,46000,58000,60000,60000
