Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin/logs?limit=30,577,5,450,731.5181147424078,13.222242007032037,18666.13312199479,7912.831889081456,9.370669965504192,0.08120164614821657,450,560,620,670,860,2400,7100,8100,19000,19000,19000
GET,/admin/stats,2235,20,470,1195.358373233486,6.150772998807952,18672.04880301142,2794.8523489932886,36.297135828252806,0.32480658459286627,470,560,630,690,3400,8400,9900,10000,17000,19000,19000
GET,/admin/users?page=1&limit=20,154,0,490,849.8023988691524,14.494382980046794,8711.993753007846,7119.0,2.5010107013650704,0.0,490,580,650,720,1600,4700,6000,7600,8700,8700,8700
GET,/admin/users?page=1&limit=20&is_active=false,41,1,470,696.6919960239732,15.499361004913226,8421.33828200167,7051.707317073171,0.6658534984153759,0.016240329229643313,470,560,630,720,1100,1100,8400,8400,8400,8400,8400
GET,/admin/users?page=1&limit=20&is_active=true,48,1,360,817.9213474577409,15.670905995648354,7259.930439002346,6970.6875,0.7795358030228791,0.016240329229643313,420,470,550,580,1300,5000,7300,7300,7300,7300,7300
GET,/admin/users?page=2&limit=20,151,1,500,976.5673498813886,12.911625992273912,13701.563177979551,7157.284768211921,2.4522897136761403,0.016240329229643313,500,610,720,740,900,6100,8200,9900,14000,14000,14000
GET,/admin/users?page=2&limit=20&is_active=false,34,0,470,680.031875941923,13.87338899075985,5876.875807996839,59.0,0.5521711938078727,0.0,490,560,620,690,960,2500,5900,5900,5900,5900,5900
GET,/admin/users?page=2&limit=20&is_active=true,40,0,520,1063.2349938503467,15.636608994100243,11030.723281990504,7195.0,0.6496131691857325,0.0,550,660,750,810,1100,8300,11000,11000,11000,11000,11000
GET,/admin/users?page=3&limit=20,166,2,510,934.6080264083604,13.25422601075843,20639.196075004293,7063.855421686747,2.6958946521207903,0.032480658459286625,520,580,640,660,990,3000,8500,15000,21000,21000,21000
GET,/admin/users?page=3&limit=20&is_active=false,29,0,510,556.3727087935368,10.994137002853677,2745.1295189966913,59.0,0.4709695476596561,0.0,510,640,650,710,780,790,2700,2700,2700,2700,2700
GET,/admin/users?page=3&limit=20&is_active=true,26,1,430,954.7747881498743,54.115944978548214,8535.218685981818,6824.038461538462,0.42224855997072613,0.016240329229643313,440,490,540,540,1100,6900,8500,8500,8500,8500,8500
GET,/admin/users?page=4&limit=20,150,1,480,959.2859411802298,12.63313100207597,11727.085326012457,7175.84,2.436049384446497,0.016240329229643313,480,580,660,750,1000,7000,8300,9200,12000,12000,12000
GET,/admin/users?page=4&limit=20&is_active=false,43,0,450,611.7089005101873,11.929547996260226,6703.944623994175,59.0,0.6983341568746625,0.0,450,580,610,660,740,1400,6700,6700,6700,6700,6700
GET,/admin/users?page=4&limit=20&is_active=true,29,0,470,1296.0259033465388,17.66249700449407,17803.89257898787,7241.0,0.4709695476596561,0.0,470,540,570,610,1300,8100,18000,18000,18000,18000,18000
GET,/admin/users?page=5&limit=20,139,0,490,803.6615734328616,13.407159014604986,8787.753717013402,7088.0,2.2574057629204205,0.0,490,600,680,720,820,4800,7900,8800,8800,8800,8800
GET,/admin/users?page=5&limit=20&is_active=false,23,0,410,504.9465373917685,10.366834991145879,1638.7586899800226,59.0,0.3735275722817962,0.0,410,540,840,880,1100,1100,1600,1600,1600,1600,1600
GET,/admin/users?page=5&limit=20&is_active=true,34,0,510,803.5440698534812,45.95960699953139,6685.357398004271,7086.0,0.5521711938078727,0.0,510,550,620,660,1100,4100,6700,6700,6700,6700,6700
POST,/auth/login [admin],500,0,240,3134.1359889808227,79.9371860048268,19757.015709008556,313.0,8.120164614821658,0.0,240,320,440,6500,17000,18000,19000,19000,20000,20000,20000
POST,/auth/login [user],2000,0,320,3359.0354367490672,38.21051199338399,21248.91967800795,38.0,32.48065845928663,0.0,320,410,650,3900,17000,19000,19000,20000,21000,21000,21000
GET,/orders [admin list],1624,9,500,964.1856805617755,15.097800991497934,18720.509250008035,16625.035714285714,26.374294668940742,0.14616296306678983,500,580,670,730,1200,6000,8500,8700,18000,19000,19000
GET,/products [init],9,0,51,53.347116452641785,27.545506018213928,85.95807501114905,11369.0,0.14616296306678983,0.0,51,52,59,79,86,86,86,86,86,86,86
GET,/products/<id>,8924,58,330,570.6946212177606,1.7493439954705536,19072.88562398753,440.18646346929626,144.92869804533694,0.9419390953193122,330,430,500,540,640,840,6700,8500,19000,19000,19000
GET,/products?[filters],17418,94,340,566.6993682020343,2.011046017287299,19841.748483973788,2789.0175680330694,282.87405452192723,1.5265909475864714,340,440,500,540,650,850,6600,8500,19000,19000,20000
,Aggregated,34394,193,350,839.5403676810008,1.7493439954705536,21248.91967800795,2838.057684479851,558.5698835243521,3.1343835413211596,350,460,530,570,740,1600,9500,17000,20000,20000,21000
