Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin/logs?limit=30,190,0,16,19.413038374899003,11.78679900476709,122.00702901463956,7982.0,3.2123615852296803,0.0,16,17,17,18,20,35,89,110,120,120,120
GET,/admin/stats,741,0,9,13.56278940167733,5.856445000972599,410.4062569967937,2819.0026990553306,12.528210182395753,0.0,9,10,10,11,12,26,74,110,410,410,410
GET,/admin/users?page=1&limit=20,56,0,15,19.330305230791314,11.68585300911218,97.59416698943824,7119.0,0.9468013093308532,0.0,15,16,17,17,20,56,77,98,98,98,98
GET,/admin/users?page=1&limit=20&is_active=false,9,0,16,25.201867777569632,14.356661995407194,60.77415801701136,7228.0,0.15216449614245853,0.0,16,17,22,50,61,61,61,61,61,61,61
GET,/admin/users?page=1&limit=20&is_active=true,18,0,17,21.167082613424604,13.982884003780782,94.02347501600161,7119.0,0.30432899228491705,0.0,17,17,19,19,21,94,94,94,94,94,94
GET,/admin/users?page=2&limit=20,52,0,15,19.238612634161164,12.689283990766853,66.61659901146777,7205.0,0.8791726443786493,0.0,15,16,17,18,20,58,66,67,67,67,67
GET,/admin/users?page=2&limit=20&is_active=false,5,0,14,13.768167799571529,12.091354001313448,15.275484998710454,59.0,0.08453583119025475,0.0,14,15,15,15,15,15,15,15,15,15,15
GET,/admin/users?page=2&limit=20&is_active=true,13,0,16,23.167130458974636,12.781694997102022,67.46358997770585,7195.0,0.21979316109466232,0.0,16,16,17,18,67,67,67,67,67,67,67
GET,/admin/users?page=3&limit=20,51,0,15,18.307851981280336,12.927438016049564,106.70945199672133,7150.0,0.8622654781405984,0.0,15,16,16,17,18,21,69,110,110,110,110
GET,/admin/users?page=3&limit=20&is_active=false,14,0,13,13.710776140214875,11.181720008607954,19.234014995163307,59.0,0.2367003273327133,0.0,13,14,15,15,15,19,19,19,19,19,19
GET,/admin/users?page=3&limit=20&is_active=true,6,0,14,15.03683382664652,13.80866498220712,17.39031501347199,7097.0,0.10144299742830569,0.0,15,15,15,15,17,17,17,17,17,17,17
GET,/admin/users?page=4&limit=20,40,0,15,21.063401202263776,12.385139998514205,88.50289697875269,7224.0,0.676286649522038,0.0,15,17,19,19,52,72,89,89,89,89,89
GET,/admin/users?page=4&limit=20&is_active=false,14,0,15,13.988720712534684,10.985308996168897,15.697850991273299,59.0,0.2367003273327133,0.0,15,15,15,15,15,16,16,16,16,16,16
GET,/admin/users?page=4&limit=20&is_active=true,10,0,16,27.15671730111353,14.032281993422657,113.0222869978752,7241.0,0.1690716623805095,0.0,16,18,25,26,110,110,110,110,110,110,110
GET,/admin/users?page=5&limit=20,53,0,16,19.20198935923114,12.68791500478983,101.04868200141937,7088.0,0.8960798106167003,0.0,16,17,17,18,19,38,80,100,100,100,100
GET,/admin/users?page=5&limit=20&is_active=false,10,0,13,12.79433979652822,11.16756402188912,15.701586991781369,59.0,0.1690716623805095,0.0,13,13,13,14,16,16,16,16,16,16,16
GET,/admin/users?page=5&limit=20&is_active=true,15,0,15,16.01469953117582,12.577143002999946,23.740552976960316,7086.0,0.25360749357076423,0.0,15,16,17,17,18,24,24,24,24,24,24
POST,/auth/login [admin],100,0,92,98.13608932017814,50.130224000895396,212.2508000175003,313.0,1.6907166238050948,0.0,92,110,110,120,140,160,210,210,210,210,210
POST,/auth/login [user],400,0,120,121.59315570439503,44.43951399298385,237.62099898885936,38.0,6.762866495220379,0.0,120,140,150,160,170,180,220,230,240,240,240
GET,/orders [admin list],589,0,23,26.298390667466922,14.145952998660505,163.5512010252569,16727.623089983023,9.958320914212008,0.0,23,24,25,26,29,58,100,120,160,160,160
GET,/products [init],13,0,24,36.348215308792604,16.51969601516612,90.57682999991812,11369.0,0.21979316109466232,0.0,24,51,52,53,55,91,91,91,91,91,91
GET,/products/<id>,2902,0,4,4.889224215006204,1.7919059901032597,206.4383869874291,445.1498966230186,49.064596422823854,0.0,4,4,4,5,6,11,19,29,72,210,210
GET,/products?[filters],5900,0,4,5.411068961109129,1.805009989766404,105.3596810088493,2793.0381355932204,99.7522808045006,0.0,4,5,5,5,7,13,18,35,84,110,110
,Aggregated,11201,0,4,12.609402699421144,1.7919059901032597,410.4062569967937,3011.893938041246,189.37716903240866,0.0,4,5,9,12,21,63,120,150,220,400,410
