Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin/logs?limit=30,243,0,2300,2527.6908764694463,251.8534460105002,7233.696857001632,7982.0,2.8163081865023964,0.0,2300,2800,3000,3500,4500,5300,6300,6500,7200,7200,7200
GET,/admin/stats,978,0,2200,2414.101961800898,238.72185498476028,7227.985992009053,2820.157464212679,11.334771219750387,0.0,2200,2800,3200,3500,4200,4700,5900,6200,7200,7200,7200
GET,/admin/users?page=1&limit=20,62,0,2500,2510.8986149655634,293.6300289875362,4996.8481230025645,7119.0,0.7185642286549325,0.0,2500,3000,3500,3500,4000,4300,4500,5000,5000,5000,5000
GET,/admin/users?page=1&limit=20&is_active=false,18,0,3000,3273.642542720255,759.7627739887685,6519.033438991755,7228.0,0.20861542122239976,0.0,3200,3800,4200,4300,5300,6500,6500,6500,6500,6500,6500
GET,/admin/users?page=1&limit=20&is_active=true,7,0,2500,2078.700929709677,1028.7350120197516,2777.5363769906107,7119.0,0.08112821936426658,0.0,2500,2500,2800,2800,2800,2800,2800,2800,2800,2800,2800
GET,/admin/users?page=2&limit=20,71,0,2500,2643.1521094661584,287.94145199935883,5263.778158987407,7205.0,0.8228719392661323,0.0,2500,3000,3500,3700,4500,5000,5200,5300,5300,5300,5300
GET,/admin/users?page=2&limit=20&is_active=false,16,0,2700,2975.532311374991,505.7352540025022,6526.3688180129975,59.0,0.18543592997546646,0.0,3000,3800,4200,4200,4700,6500,6500,6500,6500,6500,6500
GET,/admin/users?page=2&limit=20&is_active=true,19,0,2500,2561.428506322524,759.3853360158391,6278.177069994854,7195.0,0.2202051668458664,0.0,2500,2800,3000,3700,4200,6300,6300,6300,6300,6300,6300
GET,/admin/users?page=3&limit=20,60,0,2200,2386.550719401081,257.8007930133026,6504.160142998444,7150.0,0.6953847374079992,0.0,2200,2700,3000,3000,4200,5500,6300,6500,6500,6500,6500
GET,/admin/users?page=3&limit=20&is_active=false,11,0,2500,2438.6133579087486,1265.8514360082336,4003.471094998531,59.0,0.12748720185813317,0.0,2500,2800,3000,3000,3500,4000,4000,4000,4000,4000,4000
GET,/admin/users?page=3&limit=20&is_active=true,19,0,2300,2622.6585162083593,759.3023869849276,6287.913814012427,7097.0,0.2202051668458664,0.0,2300,2700,3300,4000,5300,6300,6300,6300,6300,6300,6300
GET,/admin/users?page=4&limit=20,71,0,2200,2559.2685795658017,258.538831025362,6277.42976899026,7224.0,0.8228719392661323,0.0,2200,2800,3500,3700,4300,5200,6300,6300,6300,6300,6300
GET,/admin/users?page=4&limit=20&is_active=false,18,0,2500,2678.3037324478046,290.8979839994572,5208.8206430198625,59.0,0.20861542122239976,0.0,2800,3200,3500,3500,4200,5200,5200,5200,5200,5200,5200
GET,/admin/users?page=4&limit=20&is_active=true,18,0,1700,2370.592263947603,292.39384600077756,6490.15059802332,7241.0,0.20861542122239976,0.0,2000,2200,3700,4300,4500,6500,6500,6500,6500,6500,6500
GET,/admin/users?page=5&limit=20,76,0,2200,2447.178105260766,278.073316992959,7218.777797999792,7088.0,0.8808206673834656,0.0,2200,2700,3200,3500,4300,5200,6300,7200,7200,7200,7200
GET,/admin/users?page=5&limit=20&is_active=false,16,0,2800,2824.9619440011884,988.5427900007926,6254.849021002883,59.0,0.18543592997546646,0.0,2800,3000,3700,3700,4500,6300,6300,6300,6300,6300,6300
GET,/admin/users?page=5&limit=20&is_active=true,12,0,2500,3186.3137297453554,1252.2160919907037,6508.7982440018095,7086.0,0.13907694748159982,0.0,2800,4200,4500,4500,5200,6500,6500,6500,6500,6500,6500
POST,/auth/login [admin],286,0,8500,15333.652252041355,1745.5717289994936,39277.087917987956,313.0,3.3146672483114625,0.0,8500,18000,18000,34000,37000,37000,39000,39000,39000,39000,39000
POST,/auth/login [user],999,0,20000,22506.317719967006,1518.8332330144476,61985.98515399499,38.0,11.578155877843185,0.0,20000,28000,34000,42000,50000,57000,60000,62000,62000,62000,62000
GET,/orders [admin list],738,0,2300,2416.450672815374,258.83603701367974,7257.104695978342,16725.048780487807,8.55323227011839,0.0,2300,2800,3000,3500,4000,4500,6000,6500,7300,7300,7300
GET,/products [init],35,0,1200,1292.0210064289026,1020.64717002213,1471.5262329846155,11369.0,0.40564109682133287,0.0,1200,1300,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/products/<id>,2978,0,2000,2254.430498664372,58.446450013434514,6514.861675008433,443.6846877098724,34.51426246668369,0.0,2000,2700,3000,3000,3800,4300,5000,5300,6500,6500,6500
GET,/products?[filters],6114,0,2000,2274.502049328168,54.677343025105074,6722.921426000539,2759.913967942427,70.85970474187512,0.0,2000,2700,3000,3200,4000,4300,5200,5500,6500,6700,6700
,Aggregated,12865,0,2300,4163.852799841824,54.677343025105074,61985.98515399499,3021.0343567819664,149.1020774458985,0.0,2300,3000,3300,3700,5200,18000,38000,48000,60000,62000,62000
