Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin/logs?limit=30,357,0,17,32.60190682407437,12.446287990314886,418.63487800583243,7982.0,6.03200176167071,0.0,17,18,19,23,61,120,210,370,420,420,420
GET,/admin/stats,1486,0,10,73.11265300479899,5.099337984574959,3158.405194990337,2819.2045760430688,25.107996128410853,0.0,10,11,11,12,42,85,830,2900,3100,3200,3200
GET,/admin/users?page=1&limit=20,106,0,16,28.5268380753652,12.564472999656573,300.9850649978034,7119.0,1.791014528675337,0.0,16,18,19,20,43,110,180,260,300,300,300
GET,/admin/users?page=1&limit=20&is_active=false,23,0,16,33.315083697822914,12.562000978505239,202.33411400113255,7228.0,0.38861635999559196,0.0,16,18,25,52,62,99,200,200,200,200,200
GET,/admin/users?page=1&limit=20&is_active=true,22,0,16,21.32835509837605,12.630374025320634,102.32632802217267,7119.0,0.37171999651752274,0.0,16,18,20,21,21,32,100,100,100,100,100
GET,/admin/users?page=2&limit=20,105,0,16,26.943483845874045,12.685750989476219,218.456647999119,7205.0,1.7741181651972677,0.0,16,18,19,20,45,110,150,170,220,220,220
GET,/admin/users?page=2&limit=20&is_active=false,26,0,14,21.98359907533114,10.557081986917183,100.8814689994324,59.0,0.4393054504297996,0.0,14,15,16,16,50,91,100,100,100,100,100
GET,/admin/users?page=2&limit=20&is_active=true,24,0,17,19.181495751884842,13.193291990319267,81.56925500952639,7195.0,0.4055127234736612,0.0,17,18,18,18,19,19,82,82,82,82,82
GET,/admin/users?page=3&limit=20,82,0,17,38.573976183770135,12.30299100279808,479.1264639934525,7150.0,1.3855018052016757,0.0,17,18,20,22,96,150,290,480,480,480,480
GET,/admin/users?page=3&limit=20&is_active=false,21,0,14,30.64859505060927,11.022311984561384,175.4155350208748,59.0,0.3548236330394535,0.0,14,15,16,17,90,110,180,180,180,180,180
GET,/admin/users?page=3&limit=20&is_active=true,26,0,16,29.619057078469687,12.22054599202238,155.81899500102736,7097.0,0.4393054504297996,0.0,17,19,24,25,73,120,160,160,160,160,160
GET,/admin/users?page=4&limit=20,129,0,16,23.555516410175017,12.302575982175767,222.7549739764072,7224.0,2.179630888670929,0.0,16,17,18,19,26,80,110,160,220,220,220
GET,/admin/users?page=4&limit=20&is_active=false,26,0,13,13.489231385532408,10.35611200495623,19.11602000473067,59.0,0.4393054504297996,0.0,14,14,15,15,16,16,19,19,19,19,19
GET,/admin/users?page=4&limit=20&is_active=true,16,0,17,17.353244125843048,14.016552013345063,25.900247012032196,7241.0,0.2703418156491075,0.0,17,17,19,19,22,26,26,26,26,26,26
GET,/admin/users?page=5&limit=20,111,0,16,25.200501026120037,11.093883978901431,293.0493580061011,7088.0,1.8754963460656828,0.0,16,17,18,19,41,72,160,160,290,290,290
GET,/admin/users?page=5&limit=20&is_active=false,23,0,14,15.971435781861858,9.97429498238489,59.71535501885228,59.0,0.38861635999559196,0.0,14,15,16,17,18,18,60,60,60,60,60
GET,/admin/users?page=5&limit=20&is_active=true,20,0,18,26.30480705120135,13.66178400348872,173.65064501063898,7086.0,0.3379272695613843,0.0,18,19,21,23,29,170,170,170,170,170,170
POST,/auth/login [admin],200,0,140,153.10977627596003,80.66947798943147,295.0203549989965,313.0,3.3792726956138432,0.0,140,160,160,180,240,270,280,290,300,300,300
POST,/auth/login [user],800,0,220,217.00911459163763,40.02636898076162,598.064911988331,38.0,13.517090782455373,0.0,220,240,260,270,300,340,390,460,600,600,600
GET,/orders [admin list],1077,0,23,39.80497490900989,14.01067100232467,635.3979719860945,16687.452181987002,18.197383465880545,0.0,23,26,28,30,59,130,290,380,600,640,640
GET,/products [init],11,0,69,61.87287655087527,18.056058004731312,87.71826501470059,11369.0,0.18585999825876137,0.0,69,81,83,83,85,88,88,88,88,88,88
GET,/products/<id>,5775,0,4,7.76055153708772,1.6477819881401956,189.78461899678223,442.941645021645,97.57649908584972,0.0,4,5,6,6,10,31,60,77,130,190,190
GET,/products?[filters],11797,0,5,8.275175033294758,1.7313489806838334,422.32851500739343,2807.341612274307,199.32639995078253,0.0,5,5,6,7,12,30,60,86,180,370,420
,Aggregated,22263,0,5,23.83139450381363,1.6477819881401956,3158.405194990337,2949.51089251224,376.16374011225497,0.0,5,7,10,15,34,110,230,270,2900,3100,3200
