Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin/logs?limit=30,41,0,8,8.401720560985313,6.9467920000079175,19.34729000004154,7982.0,0.6940210481697762,0.0,8,8,9,9,9,9,19,19,19,19,19
GET,/admin/stats,156,0,72,72.15929076922379,62.81511399993178,96.58100599995123,2815.846153846154,2.640665451572807,0.0,72,73,74,75,76,78,83,88,97,97,97
GET,/admin/users?page=1&limit=20,10,0,8,7.9855986999746165,7.021091000069646,8.722252999973534,7119.0,0.16927342638287224,0.0,8,8,8,9,9,9,9,9,9,9,9
GET,/admin/users?page=1&limit=20&is_active=false,1,0,7.579312000075333,7.579312000075333,7.579312000075333,7.579312000075333,7228.0,0.016927342638287223,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/admin/users?page=1&limit=20&is_active=true,1,0,7.3839090000547,7.3839090000547,7.3839090000547,7.3839090000547,7119.0,0.016927342638287223,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/admin/users?page=2&limit=20,9,0,7,7.380106777797361,6.7087610000271525,8.52706400007719,7205.0,0.152346083744585,0.0,7,7,8,8,9,9,9,9,9,9,9
GET,/admin/users?page=2&limit=20&is_active=false,2,0,7,9.96386350004741,6.716337000057138,13.211390000037682,59.0,0.033854685276574446,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/admin/users?page=2&limit=20&is_active=true,4,0,7.259994000037295,8.030515499967805,7.259994000037295,9.07179000000724,7195.0,0.06770937055314889,0.0,8,8,9,9,9,9,9,9,9,9,9
GET,/admin/users?page=3&limit=20,12,0,8,7.7967265833081,6.878862000007757,8.41467800000828,7150.0,0.2031281116594467,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/admin/users?page=3&limit=20&is_active=false,3,0,6,6.485844666675196,5.8659329999954934,7.279077000021061,59.0,0.05078202791486167,0.0,6,6,7,7,7,7,7,7,7,7,7
GET,/admin/users?page=3&limit=20&is_active=true,1,0,8.380395000017415,8.380395000017415,8.380395000017415,8.380395000017415,7097.0,0.016927342638287223,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/admin/users?page=4&limit=20,7,0,8,7.617505571455955,7.143774000041958,8.312307000096553,7224.0,0.11849139846801056,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/admin/users?page=4&limit=20&is_active=false,1,0,6.315633999975034,6.315633999975034,6.315633999975034,6.315633999975034,59.0,0.016927342638287223,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/admin/users?page=4&limit=20&is_active=true,5,0,7,7.425184599992463,6.329246000063904,8.191513999918243,7241.0,0.08463671319143612,0.0,7,8,8,8,8,8,8,8,8,8,8
GET,/admin/users?page=5&limit=20,14,0,8,7.8997530714316,6.240885000011076,8.580696000080934,7088.0,0.23698279693602112,0.0,8,8,8,8,9,9,9,9,9,9,9
GET,/admin/users?page=5&limit=20&is_active=false,1,0,6.326236999939283,6.326236999939283,6.326236999939283,6.326236999939283,59.0,0.016927342638287223,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/admin/users?page=5&limit=20&is_active=true,5,0,8,7.730936999973892,6.9153629999618715,8.8632060000009,7086.0,0.08463671319143612,0.0,8,8,8,9,9,9,9,9,9,9,9
POST,/auth/login [admin],20,0,210,211.71819535001646,205.29134700007035,228.5217209999928,313.0,0.3385468527657445,0.0,210,210,210,210,230,230,230,230,230,230,230
POST,/auth/login [user],80,0,12,12.524718612509389,7.687132999990354,26.728074000061497,38.0,1.354187411062978,0.0,12,13,14,14,17,19,22,27,27,27,27
GET,/orders [admin list],103,0,11,11.02118642718677,7.2523690000707575,17.198928999960117,16749.93203883495,1.743516291743584,0.0,11,12,13,13,13,14,14,15,17,17,17
GET,/products [init],8,0,14,15.516225749991008,7.7174609999701715,23.7306430000217,11369.0,0.13541874110629779,0.0,16,16,22,22,24,24,24,24,24,24,24
GET,/products/<id>,562,0,3,3.707373215302934,0.7851320000327178,20.616261999975904,445.4092526690391,9.51316656271742,0.0,3,5,5,6,6,6,7,8,21,21,21
GET,/products?[filters],1177,0,2,3.828949915036507,0.9854689999428956,15.031654000040362,2726.4018691588785,19.92348228526406,0.0,2,6,7,7,7,8,8,9,15,15,15
,Aggregated,2223,0,5,11.369420274853125,0.7851320000327178,228.5217209999928,2944.323436797121,37.629482684912496,0.0,5,7,7,8,13,71,75,85,220,230,230
