Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin/logs?limit=30,191,0,8,85.7156464659682,6.1836809998112585,3282.5840840000637,7982.0,3.232026178703125,0.0,8,9,9,10,10,21,1900,3300,3300,3300,3300
GET,/admin/stats,698,0,90,176.69147492264005,7.954066000138482,3995.6219010000495,2811.6160458452723,11.811278914841786,0.0,90,110,120,130,170,220,1900,3300,4000,4000,4000
GET,/admin/users?page=1&limit=20,35,0,8,60.76239931430142,6.814057999918077,1856.0604599999806,7119.0,0.5922561060450753,0.0,8,8,8,8,9,14,1900,1900,1900,1900,1900
GET,/admin/users?page=1&limit=20&is_active=false,13,0,8,7.847450153821438,6.489665999879435,9.103154999820617,7228.0,0.2199808393881708,0.0,8,8,8,8,9,9,9,9,9,9,9
GET,/admin/users?page=1&limit=20&is_active=true,11,0,8,8.139163181836425,7.401236000077915,9.284686000000875,7119.0,0.1861376333284522,0.0,8,9,9,9,9,9,9,9,9,9,9
GET,/admin/users?page=2&limit=20,40,0,8,26.813960375011447,6.437624000000142,751.2033069999688,7205.0,0.6768641211943717,0.0,8,8,9,9,10,14,750,750,750,750,750
GET,/admin/users?page=2&limit=20&is_active=false,13,0,7,7.655414692268236,5.975352999939787,11.127793000014208,59.0,0.2199808393881708,0.0,7,8,8,9,11,11,11,11,11,11,11
GET,/admin/users?page=2&limit=20&is_active=true,7,0,9,271.9591495714602,7.526667000092857,1851.673663999918,7195.0,0.11845122120901505,0.0,9,9,10,10,1900,1900,1900,1900,1900,1900,1900
GET,/admin/users?page=3&limit=20,56,0,8,32.02209566069314,5.578331000151593,1004.662572999905,7150.0,0.9476097696721204,0.0,8,8,8,8,9,13,370,1000,1000,1000,1000
GET,/admin/users?page=3&limit=20&is_active=false,14,0,6,6.785207285702199,5.876828999817008,7.869166000091354,59.0,0.2369024424180301,0.0,7,7,8,8,8,8,8,8,8,8,8
GET,/admin/users?page=3&limit=20&is_active=true,14,0,8,8.10243885710601,6.807500999912008,10.230344999854424,7097.0,0.2369024424180301,0.0,8,9,9,9,9,10,10,10,10,10,10
GET,/admin/users?page=4&limit=20,58,0,8,97.05906987930403,6.269190000011804,3234.13060200005,7224.0,0.981452975731839,0.0,8,8,9,9,10,15,1900,3200,3200,3200,3200
GET,/admin/users?page=4&limit=20&is_active=false,8,0,6,6.586150125059476,5.425876000117569,8.040495999921404,59.0,0.13537282423887434,0.0,6,7,8,8,8,8,8,8,8,8,8
GET,/admin/users?page=4&limit=20&is_active=true,10,0,8,8.807114200021715,7.437908999918363,13.677037000206838,7241.0,0.16921603029859292,0.0,8,9,9,10,14,14,14,14,14,14,14
GET,/admin/users?page=5&limit=20,45,0,8,165.8587394666736,6.045023000069705,3849.4986650000556,7088.0,0.7614721363436682,0.0,8,8,8,9,10,13,3800,3800,3800,3800,3800
GET,/admin/users?page=5&limit=20&is_active=false,12,0,7,480.84310024999394,5.862547999868184,1936.4704769998298,59.0,0.20305923635831152,0.0,7,8,1800,1800,1900,1900,1900,1900,1900,1900,1900
GET,/admin/users?page=5&limit=20&is_active=true,10,0,9,9.091960400019161,7.510286000069755,12.503066000135732,7086.0,0.16921603029859292,0.0,9,9,9,10,13,13,13,13,13,13,13
POST,/auth/login [admin],100,0,3800,3670.547145680005,2070.1302620000206,6124.915087999852,313.0,1.6921603029859293,0.0,3800,4000,5000,5100,5100,5800,6100,6100,6100,6100,6100
POST,/auth/login [user],400,0,3900,3436.804285924994,77.85988199998428,5836.936689999902,38.0,6.768641211943717,0.0,3900,5000,5100,5100,5100,5800,5800,5800,5800,5800,5800
GET,/orders [admin list],554,0,12,84.4001337328544,7.266985999876852,3848.967157000061,16694.70938628159,9.374568078542048,0.0,12,13,14,14,18,25,1800,2400,3800,3800,3800
GET,/products [init],6,0,15,21.082151333378835,12.85566599995036,38.94175499999619,11369.0,0.10152961817915576,0.0,17,17,28,28,39,39,39,39,39,39,39
GET,/products/<id>,3031,0,2,30.304479534809122,0.7280190000074072,4900.415362000103,443.70339821840975,51.289378783503516,0.0,2,2,3,3,5,6,14,730,4700,4900,4900
GET,/products?[filters],5878,0,2,26.468218716739926,0.7639719999588124,5555.8279750000565,2780.5302824089827,99.46518260951292,0.0,2,2,3,3,7,8,11,42,4900,5600,5600
,Aggregated,11204,0,2,196.5625273429152,0.7280190000074072,6124.915087999852,2917.1038022134953,189.58964034654352,0.0,2,4,7,8,83,590,4000,5100,5800,6100,6100
